text,hashtags,conclusi,percent
RT @BellaHadidDaily: Bella and Gigi on Mohamed Hadid’s instagram. https://t.co/Rl4DKGplbx,,POSITIVE,76.07216835021973
"RT @Ayang55532413: Eggi Sudjana, Saya Paling Radikal karena memegang Akar #ILCMasjidTerpaparRadikal https://t.co/TSgC8310Ro","ILCMasjidTerpaparRadikal, ",POSITIVE,75.79905986785889
"RT @CakKhum: ""Ustadz² yang di tuduh Radikal ini adalah ustadz² yg tidak setuju dengan rezim yang sedang berkuasa ini, coba kalau besok saya…",,POSITIVE,79.79249954223633
"FIX CACAT NALAR NYA??

Hemmmm",,POSITIVE,75.79905986785889
Top pak eggi...sangat berisi,,POSITIVE,75.79905986785889
RT @kyallenz: Stop degrading other women just because you want to give one your praise. Don’t ever compliment a woman by insulting another…,,POSITIVE,76.81742310523987
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"RT @matiaseperezz: una canción de la champions liga JAMÁS se tiene que saltear del reproductor o de donde estes escuchando, estamos de acue…",,POSITIVE,69.7527527809143
RT @NabilHussein: Let's just agree both of them are prettier than you sorry not sorry https://t.co/uL5GvZtQFq,,POSITIVE,75.44066309928894
"Badan ngintel yg pakai studi Agus buat menentukan Masjid Radikal gak malu ditampol ""Ngawurisme"" sama bang Eggy?

#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,81.14011883735657
"RT @cintapribumi: Yg bikin study masjid terpampang radikalisme adalah orang yg cacat nalar,  dungu..
Ini bukan kerjaan intelektual.. 
Jelas…",,POSITIVE,67.92752146720886
"RT @Surgabidadari3: Tanggapan Ustadz Tengku Zulkarnaen soal Pemahaman Radikal yg Keliru.
. 
🇦​🇳​🇦​🇰​ 🇲​🇮​🇱​🇪​🇳​🇮​🇦​🇱​ PILIH 
#️⃣​🇵​🇷​🇦​🇧​🇴​…",,POSITIVE,75.50795674324036
"Tuh si Romlah ngomongin Suriah lagi,Om.
😀
#ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,75.8885145187378
"RT @ED_R88: @MataNajwa #MataNajwaPSSIBisaApa @NajwaShihab 
Get Well Really Soon @PSSI 
#MariBersihBersihPSSI dari 1991 gada juara timnasnya…","MataNajwaPSSIBisaApa, MariBersihBersihPSSI, ",POSITIVE,75.40718913078308
"RT @cintapribumi: Yg bikin study masjid terpampang radikalisme adalah orang yg cacat nalar,  dungu..
Ini bukan kerjaan intelektual.. 
Jelas…",,POSITIVE,67.92752146720886
"RT @Surgabidadari3: Tanggapan Ustadz Tengku Zulkarnaen soal Pemahaman Radikal yg Keliru.
. 
🇦​🇳​🇦​🇰​ 🇲​🇮​🇱​🇪​🇳​🇮​🇦​🇱​ PILIH 
#️⃣​🇵​🇷​🇦​🇧​🇴​…",,POSITIVE,75.50795674324036
"RT @imam_nahrawi: Mbak @najwashihab saya izin ikut upload ya. Semoga bisa jadi hasil baik untuk kemajuan sepakbola Indonesia. 

#MataNajwaP…",,POSITIVE,78.02862524986267
RT @ILCtv1: #ILCMasjidTerpaparRadikal | Bang @Eggisudjana_ https://t.co/C4100GxJLn,"ILCMasjidTerpaparRadikal, ",POSITIVE,75.79905986785889
"Penelitian abal"" yg  membuat pendangkalan akidah,
Gw gak mau milih pemimpin non muslim = gw radikal, TERLUCU #ILCMasjidTerpaparRadikal","ILCMasjidTerpaparRadikal, ",POSITIVE,79.61957454681396
